sample,thin_sample,who,part,digits,value
0,0,monkeys,0,None,0.003936
0,0,monkeys,1,None,0.030908
0,0,monkeys,2,None,0.170208
1,1,monkeys,0,None,0.009173
1,1,monkeys,1,None,0.031725
1,1,monkeys,2,None,0.165551
2,2,monkeys,0,None,0.009617
2,2,monkeys,1,None,0.024690
2,2,monkeys,2,None,0.172799
3,3,monkeys,0,None,0.008963
3,3,monkeys,1,None,0.020787
3,3,monkeys,2,None,0.205679
4,4,monkeys,0,None,0.011064
4,4,monkeys,1,None,0.049586
4,4,monkeys,2,None,0.150767
5,5,monkeys,0,None,0.004877
5,5,monkeys,1,None,0.043463
5,5,monkeys,2,None,0.113042
6,6,monkeys,0,None,0.024915
6,6,monkeys,1,None,0.032092
6,6,monkeys,2,None,0.132824
7,7,monkeys,0,None,0.003039
7,7,monkeys,1,None,0.042100
7,7,monkeys,2,None,0.192027
8,8,monkeys,0,None,0.002846
8,8,monkeys,1,None,0.046014
8,8,monkeys,2,None,0.184497
9,9,monkeys,0,None,0.008340
9,9,monkeys,1,None,0.027823
9,9,monkeys,2,None,0.183265
10,10,monkeys,0,None,0.005209
10,10,monkeys,1,None,0.030799
10,10,monkeys,2,None,0.175384
11,11,monkeys,0,None,0.022677
11,11,monkeys,1,None,0.028100
11,11,monkeys,2,None,0.235957
12,12,monkeys,0,None,0.007848
12,12,monkeys,1,None,0.053677
12,12,monkeys,2,None,0.200941
13,13,monkeys,0,None,0.004251
13,13,monkeys,1,None,0.025809
13,13,monkeys,2,None,0.241983
14,14,monkeys,0,None,0.007102
14,14,monkeys,1,None,0.044863
14,14,monkeys,2,None,0.213868
15,15,monkeys,0,None,0.009445
15,15,monkeys,1,None,0.041654
15,15,monkeys,2,None,0.210851
16,16,monkeys,0,None,0.003276
16,16,monkeys,1,None,0.026051
16,16,monkeys,2,None,0.211463
17,17,monkeys,0,None,0.009564
17,17,monkeys,1,None,0.040786
17,17,monkeys,2,None,0.209597
18,18,monkeys,0,None,0.009965
18,18,monkeys,1,None,0.026514
18,18,monkeys,2,None,0.125509
19,19,monkeys,0,None,0.008569
19,19,monkeys,1,None,0.038530
19,19,monkeys,2,None,0.179012
20,20,monkeys,0,None,0.004703
20,20,monkeys,1,None,0.058076
20,20,monkeys,2,None,0.222545
21,21,monkeys,0,None,0.008884
21,21,monkeys,1,None,0.032469
21,21,monkeys,2,None,0.212779
22,22,monkeys,0,None,0.008047
22,22,monkeys,1,None,0.039079
22,22,monkeys,2,None,0.160236
23,23,monkeys,0,None,0.004796
23,23,monkeys,1,None,0.033570
23,23,monkeys,2,None,0.184667
24,24,monkeys,0,None,0.004796
24,24,monkeys,1,None,0.033570
24,24,monkeys,2,None,0.184667
25,25,monkeys,0,None,0.004191
25,25,monkeys,1,None,0.033164
25,25,monkeys,2,None,0.184380
26,26,monkeys,0,None,0.018550
26,26,monkeys,1,None,0.031351
26,26,monkeys,2,None,0.178620
27,27,monkeys,0,None,0.004551
27,27,monkeys,1,None,0.044677
27,27,monkeys,2,None,0.176613
28,28,monkeys,0,None,0.007754
28,28,monkeys,1,None,0.032933
28,28,monkeys,2,None,0.161932
29,29,monkeys,0,None,0.012597
29,29,monkeys,1,None,0.035110
29,29,monkeys,2,None,0.179743
30,30,monkeys,0,None,0.027641
30,30,monkeys,1,None,0.019125
30,30,monkeys,2,None,0.161166
31,31,monkeys,0,None,0.004379
31,31,monkeys,1,None,0.046535
31,31,monkeys,2,None,0.153926
32,32,monkeys,0,None,0.005062
32,32,monkeys,1,None,0.038817
32,32,monkeys,2,None,0.167205
33,33,monkeys,0,None,0.018014
33,33,monkeys,1,None,0.033847
33,33,monkeys,2,None,0.187277
34,34,monkeys,0,None,0.014932
34,34,monkeys,1,None,0.036792
34,34,monkeys,2,None,0.169517
35,35,monkeys,0,None,0.014065
35,35,monkeys,1,None,0.047878
35,35,monkeys,2,None,0.195444
36,36,monkeys,0,None,0.009562
36,36,monkeys,1,None,0.040345
36,36,monkeys,2,None,0.197565
37,37,monkeys,0,None,0.008669
37,37,monkeys,1,None,0.028209
37,37,monkeys,2,None,0.187797
38,38,monkeys,0,None,0.008108
38,38,monkeys,1,None,0.036449
38,38,monkeys,2,None,0.203520
39,39,monkeys,0,None,0.003394
39,39,monkeys,1,None,0.032812
39,39,monkeys,2,None,0.215154
40,40,monkeys,0,None,0.011405
40,40,monkeys,1,None,0.034646
40,40,monkeys,2,None,0.161505
