sample,thin_sample,who,which,forward,value
0,0,adults,CMOM,None,0.008919
0,0,adults,OMCM,None,0.009300
0,0,adults,CMCM,None,0.022957
0,0,adults,OOCM,None,0.073509
0,0,adults,OCOM,None,0.014831
0,0,adults,OOMM,None,0.790345
0,0,adults,CCMM,None,0.009934
0,0,adults,OCCM,None,0.027602
0,0,adults,OMOM,None,0.010399
0,0,adults,CCOM,None,0.003523
0,0,adults,COCM,None,0.015895
0,0,adults,COOM,None,0.012787
1,1,adults,CMOM,None,0.011092
1,1,adults,OMCM,None,0.007601
1,1,adults,CMCM,None,0.013947
1,1,adults,OOCM,None,0.049271
1,1,adults,OCOM,None,0.017189
1,1,adults,OOMM,None,0.830311
1,1,adults,CCMM,None,0.008162
1,1,adults,OCCM,None,0.007836
1,1,adults,OMOM,None,0.014558
1,1,adults,CCOM,None,0.002476
1,1,adults,COCM,None,0.021753
1,1,adults,COOM,None,0.015802
2,2,adults,CMOM,None,0.010354
2,2,adults,OMCM,None,0.009555
2,2,adults,CMCM,None,0.020256
2,2,adults,OOCM,None,0.034677
2,2,adults,OCOM,None,0.013546
2,2,adults,OOMM,None,0.849842
2,2,adults,CCMM,None,0.006689
2,2,adults,OCCM,None,0.008407
2,2,adults,OMOM,None,0.008182
2,2,adults,CCOM,None,0.004081
2,2,adults,COCM,None,0.017735
2,2,adults,COOM,None,0.016678
3,3,adults,CMOM,None,0.007836
3,3,adults,OMCM,None,0.010550
3,3,adults,CMCM,None,0.017966
3,3,adults,OOCM,None,0.043096
3,3,adults,OCOM,None,0.019161
3,3,adults,OOMM,None,0.850614
3,3,adults,CCMM,None,0.005153
3,3,adults,OCCM,None,0.005522
3,3,adults,OMOM,None,0.010011
3,3,adults,CCOM,None,0.003170
3,3,adults,COCM,None,0.014816
3,3,adults,COOM,None,0.012106
4,4,adults,CMOM,None,0.012050
4,4,adults,OMCM,None,0.011824
4,4,adults,CMCM,None,0.026723
4,4,adults,OOCM,None,0.033643
4,4,adults,OCOM,None,0.017511
4,4,adults,OOMM,None,0.814905
4,4,adults,CCMM,None,0.016081
4,4,adults,OCCM,None,0.007520
4,4,adults,OMOM,None,0.010058
4,4,adults,CCOM,None,0.006331
4,4,adults,COCM,None,0.016051
4,4,adults,COOM,None,0.027304
5,5,adults,CMOM,None,0.010111
5,5,adults,OMCM,None,0.017534
5,5,adults,CMCM,None,0.025511
5,5,adults,OOCM,None,0.057658
5,5,adults,OCOM,None,0.022006
5,5,adults,OOMM,None,0.790828
5,5,adults,CCMM,None,0.005785
5,5,adults,OCCM,None,0.014424
5,5,adults,OMOM,None,0.018441
5,5,adults,CCOM,None,0.004031
5,5,adults,COCM,None,0.013254
5,5,adults,COOM,None,0.020417
6,6,adults,CMOM,None,0.006904
6,6,adults,OMCM,None,0.013472
6,6,adults,CMCM,None,0.026390
6,6,adults,OOCM,None,0.057597
6,6,adults,OCOM,None,0.022380
6,6,adults,OOMM,None,0.793610
6,6,adults,CCMM,None,0.016419
6,6,adults,OCCM,None,0.015856
6,6,adults,OMOM,None,0.013212
6,6,adults,CCOM,None,0.007171
6,6,adults,COCM,None,0.007537
6,6,adults,COOM,None,0.019455
7,7,adults,CMOM,None,0.006858
7,7,adults,OMCM,None,0.014842
7,7,adults,CMCM,None,0.033748
7,7,adults,OOCM,None,0.048119
7,7,adults,OCOM,None,0.020893
7,7,adults,OOMM,None,0.786453
7,7,adults,CCMM,None,0.017700
7,7,adults,OCCM,None,0.014933
7,7,adults,OMOM,None,0.018454
7,7,adults,CCOM,None,0.007726
7,7,adults,COCM,None,0.006943
7,7,adults,COOM,None,0.023331
8,8,adults,CMOM,None,0.012011
8,8,adults,OMCM,None,0.012808
8,8,adults,CMCM,None,0.015210
8,8,adults,OOCM,None,0.047169
8,8,adults,OCOM,None,0.014878
8,8,adults,OOMM,None,0.835523
8,8,adults,CCMM,None,0.013074
8,8,adults,OCCM,None,0.008708
8,8,adults,OMOM,None,0.012766
8,8,adults,CCOM,None,0.005937
8,8,adults,COCM,None,0.008507
8,8,adults,COOM,None,0.013408
9,9,adults,CMOM,None,0.009965
9,9,adults,OMCM,None,0.013224
9,9,adults,CMCM,None,0.029006
9,9,adults,OOCM,None,0.062511
9,9,adults,OCOM,None,0.030777
9,9,adults,OOMM,None,0.763791
9,9,adults,CCMM,None,0.019154
9,9,adults,OCCM,None,0.005866
9,9,adults,OMOM,None,0.034662
