sample,thin_sample,who,part,digits,value
0,0,tsimane,0,None,12.767129
1,1,tsimane,0,None,9.821770
2,2,tsimane,0,None,12.197618
3,3,tsimane,0,None,18.197263
4,4,tsimane,0,None,15.801188
5,5,tsimane,0,None,19.281718
6,6,tsimane,0,None,12.955118
7,7,tsimane,0,None,15.805402
8,8,tsimane,0,None,12.190243
9,9,tsimane,0,None,9.060527
10,10,tsimane,0,None,5.896763
11,11,tsimane,0,None,9.681023
12,12,tsimane,0,None,9.567616
13,13,tsimane,0,None,8.988706
14,14,tsimane,0,None,8.032413
15,15,tsimane,0,None,6.037827
16,16,tsimane,0,None,8.513643
17,17,tsimane,0,None,7.699016
18,18,tsimane,0,None,7.524119
19,19,tsimane,0,None,5.803557
20,20,tsimane,0,None,6.233638
21,21,tsimane,0,None,6.315009
22,22,tsimane,0,None,8.416968
23,23,tsimane,0,None,7.532228
24,24,tsimane,0,None,6.409803
25,25,tsimane,0,None,5.802377
26,26,tsimane,0,None,5.028163
27,27,tsimane,0,None,6.764488
28,28,tsimane,0,None,7.112122
29,29,tsimane,0,None,7.419589
30,30,tsimane,0,None,9.401218
31,31,tsimane,0,None,5.764455
32,32,tsimane,0,None,6.903623
33,33,tsimane,0,None,6.783549
34,34,tsimane,0,None,5.612599
35,35,tsimane,0,None,5.270922
36,36,tsimane,0,None,5.335481
37,37,tsimane,0,None,4.815807
38,38,tsimane,0,None,4.637655
39,39,tsimane,0,None,5.995122
40,40,tsimane,0,None,4.188819
41,41,tsimane,0,None,5.789211
42,42,tsimane,0,None,4.081921
43,43,tsimane,0,None,4.498767
44,44,tsimane,0,None,3.588079
45,45,tsimane,0,None,4.242207
46,46,tsimane,0,None,3.679532
47,47,tsimane,0,None,3.330305
48,48,tsimane,0,None,3.192968
49,49,tsimane,0,None,3.451887
50,50,tsimane,0,None,3.244357
51,51,tsimane,0,None,3.194518
52,52,tsimane,0,None,3.217063
53,53,tsimane,0,None,2.886293
54,54,tsimane,0,None,4.642969
55,55,tsimane,0,None,3.395226
