sample,thin_sample,who,which,forward,value
0,0,adults,OMCO,None,0.016889
0,0,adults,OCOM,None,0.016369
0,0,adults,OOMC,None,0.808913
0,0,adults,OMOC,None,0.024356
0,0,adults,OOCM,None,0.052087
0,0,adults,OCCO,None,0.012457
0,0,adults,CCOO,None,0.030606
0,0,adults,COCO,None,0.013637
0,0,adults,COOM,None,0.024685
1,1,adults,OMCO,None,0.004062
1,1,adults,OCOM,None,0.003366
1,1,adults,OOMC,None,0.880508
1,1,adults,OMOC,None,0.012808
1,1,adults,OOCM,None,0.066115
1,1,adults,OCCO,None,0.004557
1,1,adults,CCOO,None,0.013391
1,1,adults,COCO,None,0.005391
1,1,adults,COOM,None,0.009803
2,2,adults,OMCO,None,0.003391
2,2,adults,OCOM,None,0.002891
2,2,adults,OOMC,None,0.899726
2,2,adults,OMOC,None,0.010188
2,2,adults,OOCM,None,0.063980
2,2,adults,OCCO,None,0.001262
2,2,adults,CCOO,None,0.011111
2,2,adults,COCO,None,0.003657
2,2,adults,COOM,None,0.003794
3,3,adults,OMCO,None,0.002162
3,3,adults,OCOM,None,0.002474
3,3,adults,OOMC,None,0.898745
3,3,adults,OMOC,None,0.006116
3,3,adults,OOCM,None,0.066346
3,3,adults,OCCO,None,0.002579
3,3,adults,CCOO,None,0.013376
3,3,adults,COCO,None,0.003321
3,3,adults,COOM,None,0.004881
4,4,adults,OMCO,None,0.009543
4,4,adults,OCOM,None,0.003581
4,4,adults,OOMC,None,0.881249
4,4,adults,OMOC,None,0.020031
4,4,adults,OOCM,None,0.034963
4,4,adults,OCCO,None,0.007481
4,4,adults,CCOO,None,0.005205
4,4,adults,COCO,None,0.016882
4,4,adults,COOM,None,0.021064
5,5,adults,OMCO,None,0.006413
5,5,adults,OCOM,None,0.007067
5,5,adults,OOMC,None,0.855994
5,5,adults,OMOC,None,0.011365
5,5,adults,OOCM,None,0.060063
5,5,adults,OCCO,None,0.012552
5,5,adults,CCOO,None,0.017114
5,5,adults,COCO,None,0.019290
5,5,adults,COOM,None,0.010143
6,6,adults,OMCO,None,0.008086
6,6,adults,OCOM,None,0.009176
6,6,adults,OOMC,None,0.866269
6,6,adults,OMOC,None,0.015765
6,6,adults,OOCM,None,0.038703
6,6,adults,OCCO,None,0.009891
6,6,adults,CCOO,None,0.019161
6,6,adults,COCO,None,0.012357
6,6,adults,COOM,None,0.020593
7,7,adults,OMCO,None,0.009505
7,7,adults,OCOM,None,0.005922
7,7,adults,OOMC,None,0.872874
7,7,adults,OMOC,None,0.014634
7,7,adults,OOCM,None,0.038481
7,7,adults,OCCO,None,0.015713
7,7,adults,CCOO,None,0.009162
7,7,adults,COCO,None,0.020766
7,7,adults,COOM,None,0.012943
8,8,adults,OMCO,None,0.003048
8,8,adults,OCOM,None,0.005596
8,8,adults,OOMC,None,0.881162
8,8,adults,OMOC,None,0.012424
8,8,adults,OOCM,None,0.051296
8,8,adults,OCCO,None,0.005685
8,8,adults,CCOO,None,0.005686
8,8,adults,COCO,None,0.023348
8,8,adults,COOM,None,0.011756
9,9,adults,OMCO,None,0.005952
9,9,adults,OCOM,None,0.006084
9,9,adults,OOMC,None,0.859181
9,9,adults,OMOC,None,0.012282
9,9,adults,OOCM,None,0.062081
9,9,adults,OCCO,None,0.009842
9,9,adults,CCOO,None,0.006340
9,9,adults,COCO,None,0.021755
9,9,adults,COOM,None,0.016482
10,10,adults,OMCO,None,0.001475
10,10,adults,OCOM,None,0.003051
10,10,adults,OOMC,None,0.893870
10,10,adults,OMOC,None,0.003149
10,10,adults,OOCM,None,0.068153
10,10,adults,OCCO,None,0.005826
10,10,adults,CCOO,None,0.002457
10,10,adults,COCO,None,0.007871
10,10,adults,COOM,None,0.014148
11,11,adults,OMCO,None,0.001386
11,11,adults,OCOM,None,0.005491
11,11,adults,OOMC,None,0.895797
11,11,adults,OMOC,None,0.005743
11,11,adults,OOCM,None,0.064500
11,11,adults,OCCO,None,0.003461
11,11,adults,CCOO,None,0.001974
11,11,adults,COCO,None,0.010942
11,11,adults,COOM,None,0.010705
12,12,adults,OMCO,None,0.005217
12,12,adults,OCOM,None,0.005209
12,12,adults,OOMC,None,0.886915
12,12,adults,OMOC,None,0.005453
12,12,adults,OOCM,None,0.074216
12,12,adults,OCCO,None,0.004384
12,12,adults,CCOO,None,0.002807
12,12,adults,COCO,None,0.012101
12,12,adults,COOM,None,0.003697
13,13,adults,OMCO,None,0.008660
13,13,adults,OCOM,None,0.007896
13,13,adults,OOMC,None,0.854589
13,13,adults,OMOC,None,0.006351
13,13,adults,OOCM,None,0.093261
13,13,adults,OCCO,None,0.007297
13,13,adults,CCOO,None,0.002159
13,13,adults,COCO,None,0.015405
13,13,adults,COOM,None,0.004381
14,14,adults,OMCO,None,0.002238
14,14,adults,OCOM,None,0.006726
14,14,adults,OOMC,None,0.892722
14,14,adults,OMOC,None,0.007129
14,14,adults,OOCM,None,0.069205
14,14,adults,OCCO,None,0.004340
14,14,adults,CCOO,None,0.004800
14,14,adults,COCO,None,0.008351
14,14,adults,COOM,None,0.004490
15,15,adults,OMCO,None,0.002451
15,15,adults,OCOM,None,0.009635
15,15,adults,OOMC,None,0.843907
15,15,adults,OMOC,None,0.021049
15,15,adults,OOCM,None,0.053849
15,15,adults,OCCO,None,0.016017
15,15,adults,CCOO,None,0.005782
15,15,adults,COCO,None,0.020547
15,15,adults,COOM,None,0.026764
16,16,adults,OMCO,None,0.005116
16,16,adults,OCOM,None,0.005954
16,16,adults,OOMC,None,0.852485
16,16,adults,OMOC,None,0.020359
16,16,adults,OOCM,None,0.074559
16,16,adults,OCCO,None,0.007922
16,16,adults,CCOO,None,0.007108
16,16,adults,COCO,None,0.010176
16,16,adults,COOM,None,0.016322
17,17,adults,OMCO,None,0.009667
17,17,adults,OCOM,None,0.029927
17,17,adults,OOMC,None,0.778666
17,17,adults,OMOC,None,0.034576
17,17,adults,OOCM,None,0.060444
17,17,adults,OCCO,None,0.018312
17,17,adults,CCOO,None,0.006099
17,17,adults,COCO,None,0.038089
17,17,adults,COOM,None,0.024220
18,18,adults,OMCO,None,0.008054
18,18,adults,OCOM,None,0.010302
18,18,adults,OOMC,None,0.906241
18,18,adults,OMOC,None,0.015543
18,18,adults,OOCM,None,0.039571
18,18,adults,OCCO,None,0.003852
18,18,adults,CCOO,None,0.003706
18,18,adults,COCO,None,0.007686
18,18,adults,COOM,None,0.005045
19,19,adults,OMCO,None,0.009068
19,19,adults,OCOM,None,0.013031
19,19,adults,OOMC,None,0.902363
19,19,adults,OMOC,None,0.007075
19,19,adults,OOCM,None,0.021217
19,19,adults,OCCO,None,0.002832
19,19,adults,CCOO,None,0.007524
19,19,adults,COCO,None,0.011576
19,19,adults,COOM,None,0.025313
20,20,adults,OMCO,None,0.005475
20,20,adults,OCOM,None,0.021411
20,20,adults,OOMC,None,0.856187
20,20,adults,OMOC,None,0.016326
20,20,adults,OOCM,None,0.074144
20,20,adults,OCCO,None,0.007564
20,20,adults,CCOO,None,0.007783
20,20,adults,COCO,None,0.004256
20,20,adults,COOM,None,0.006853
21,21,adults,OMCO,None,0.007445
21,21,adults,OCOM,None,0.019207
21,21,adults,OOMC,None,0.856720
21,21,adults,OMOC,None,0.011998
21,21,adults,OOCM,None,0.068023
21,21,adults,OCCO,None,0.006387
21,21,adults,CCOO,None,0.013119
21,21,adults,COCO,None,0.006723
21,21,adults,COOM,None,0.010378
22,22,adults,OMCO,None,0.007174
22,22,adults,OCOM,None,0.015654
22,22,adults,OOMC,None,0.883406
22,22,adults,OMOC,None,0.008095
22,22,adults,OOCM,None,0.060355
22,22,adults,OCCO,None,0.005649
22,22,adults,CCOO,None,0.010727
22,22,adults,COCO,None,0.004962
22,22,adults,COOM,None,0.003978
23,23,adults,OMCO,None,0.004255
23,23,adults,OCOM,None,0.007950
23,23,adults,OOMC,None,0.878638
23,23,adults,OMOC,None,0.007835
23,23,adults,OOCM,None,0.058146
23,23,adults,OCCO,None,0.010310
23,23,adults,CCOO,None,0.012137
23,23,adults,COCO,None,0.008182
23,23,adults,COOM,None,0.012548
24,24,adults,OMCO,None,0.010063
24,24,adults,OCOM,None,0.031071
24,24,adults,OOMC,None,0.862900
24,24,adults,OMOC,None,0.015654
24,24,adults,OOCM,None,0.050700
24,24,adults,OCCO,None,0.007488
24,24,adults,CCOO,None,0.008873
24,24,adults,COCO,None,0.003803
24,24,adults,COOM,None,0.009446
25,25,adults,OMCO,None,0.007870
25,25,adults,OCOM,None,0.024488
25,25,adults,OOMC,None,0.855857
25,25,adults,OMOC,None,0.019660
25,25,adults,OOCM,None,0.055138
25,25,adults,OCCO,None,0.009572
25,25,adults,CCOO,None,0.010771
25,25,adults,COCO,None,0.005396
25,25,adults,COOM,None,0.011248
26,26,adults,OMCO,None,0.016226
26,26,adults,OCOM,None,0.031335
26,26,adults,OOMC,None,0.776627
26,26,adults,OMOC,None,0.013758
26,26,adults,OOCM,None,0.037759
26,26,adults,OCCO,None,0.017910
26,26,adults,CCOO,None,0.033878
26,26,adults,COCO,None,0.029685
26,26,adults,COOM,None,0.042823
27,27,adults,OMCO,None,0.019760
27,27,adults,OCOM,None,0.024276
27,27,adults,OOMC,None,0.788868
27,27,adults,OMOC,None,0.013798
27,27,adults,OOCM,None,0.044948
27,27,adults,OCCO,None,0.018041
27,27,adults,CCOO,None,0.025392
27,27,adults,COCO,None,0.019826
27,27,adults,COOM,None,0.045091
28,28,adults,OMCO,None,0.023333
28,28,adults,OCOM,None,0.031534
28,28,adults,OOMC,None,0.728368
28,28,adults,OMOC,None,0.017510
28,28,adults,OOCM,None,0.086046
28,28,adults,OCCO,None,0.031531
28,28,adults,CCOO,None,0.021295
28,28,adults,COCO,None,0.015862
28,28,adults,COOM,None,0.044521
29,29,adults,OMCO,None,0.017714
29,29,adults,OCOM,None,0.047766
29,29,adults,OOMC,None,0.718502
29,29,adults,OMOC,None,0.014984
29,29,adults,OOCM,None,0.093283
29,29,adults,OCCO,None,0.026538
29,29,adults,CCOO,None,0.029573
29,29,adults,COCO,None,0.026133
29,29,adults,COOM,None,0.025507
30,30,adults,OMCO,None,0.006380
30,30,adults,OCOM,None,0.011161
